1.039427599999999917e-02,4.000000000000000083e-02,8.037754597109739718e-01,1.299999999999999940e-03,1.500000000000000000e+01,3.239999999999999825e-03
2.946329500000000046e-02,2.800000000000000058e-02,-1.978135740042682167e-01,3.099999999999999891e-03,6.900000000000000000e+01,2.099999999999999870e-03
6.764645699999999318e-02,1.200000000000000025e-02,-4.638288688518716896e-01,3.700000000000000164e-03,5.550000000000000000e+01,1.920000000000000049e-03
5.027297199999999910e-02,2.000000000000000042e-02,9.379947521194414994e-01,2.200000000000000133e-03,1.230000000000000000e+02,2.490000000000000026e-03
1.666750900000000049e-02,4.000000000000000083e-02,-8.667670910519801319e-01,2.799999999999999972e-03,4.200000000000000000e+01,2.210000000000000159e-03
8.282543000000000544e-02,1.200000000000000025e-02,9.379947521194414994e-01,2.799999999999999972e-03,1.095000000000000000e+02,2.210000000000000159e-03
2.457894700000000029e-02,4.000000000000000083e-02,-9.715921906288021992e-01,1.299999999999999940e-03,9.600000000000000000e+01,3.239999999999999825e-03
6.870797700000000341e-02,8.000000000000000167e-03,-6.928958219201650781e-01,1.600000000000000077e-03,4.200000000000000000e+01,2.919999999999999853e-03
8.540446000000000148e-02,1.200000000000000025e-02,-9.715921906288021992e-01,1.299999999999999940e-03,1.095000000000000000e+02,3.239999999999999825e-03
4.828539300000000284e-02,3.200000000000000067e-02,-8.667670910519801319e-01,4.000000000000000083e-03,1.230000000000000000e+02,1.850000000000000082e-03
1.202904669999999981e-01,0.000000000000000000e+00,6.055278749869897892e-01,3.399999999999999811e-03,1.500000000000000000e+01,2.010000000000000068e-03
5.653667500000000151e-02,1.600000000000000033e-02,-8.667670910519801319e-01,3.700000000000000164e-03,5.550000000000000000e+01,1.920000000000000049e-03
2.214350699999999977e-02,4.000000000000000083e-02,-1.978135740042682167e-01,3.399999999999999811e-03,8.250000000000000000e+01,2.010000000000000068e-03
4.020963699999999946e-02,2.400000000000000050e-02,-1.978135740042682167e-01,1.299999999999999940e-03,1.230000000000000000e+02,3.239999999999999825e-03
1.786240879999999864e-01,4.000000000000000083e-03,8.037754597109739718e-01,3.399999999999999811e-03,9.600000000000000000e+01,2.010000000000000068e-03
5.238691589999999731e-01,0.000000000000000000e+00,-9.990208133146479819e-01,3.399999999999999811e-03,1.365000000000000000e+02,2.010000000000000068e-03
4.328415699999999672e-02,4.000000000000000083e-02,-8.667670910519801319e-01,4.000000000000000083e-03,1.500000000000000000e+02,1.850000000000000082e-03
9.460753500000000649e-02,4.000000000000000083e-03,3.590442868911160601e-01,1.899999999999999996e-03,4.200000000000000000e+01,2.680000000000000090e-03
2.099226800000000143e-02,3.200000000000000067e-02,-8.667670910519801319e-01,1.299999999999999940e-03,4.200000000000000000e+01,3.239999999999999825e-03
5.360116799999999765e-02,2.000000000000000042e-02,-9.715921906288021992e-01,3.399999999999999811e-03,6.900000000000000000e+01,2.010000000000000068e-03
1.342234290000000052e-01,4.000000000000000083e-03,-6.928958219201650781e-01,2.500000000000000052e-03,5.550000000000000000e+01,2.340000000000000066e-03
4.821007900000000290e-02,1.200000000000000025e-02,-6.928958219201650781e-01,4.000000000000000083e-03,2.850000000000000000e+01,1.850000000000000082e-03
2.644544000000000061e-02,1.600000000000000033e-02,-6.928958219201650781e-01,4.000000000000000083e-03,1.500000000000000000e+01,1.850000000000000082e-03
3.741725600000000290e-02,4.000000000000000083e-02,-8.667670910519801319e-01,3.399999999999999811e-03,1.365000000000000000e+02,2.010000000000000068e-03
3.592745499999999703e-02,1.600000000000000033e-02,8.037754597109739718e-01,1.000000000000000021e-03,5.550000000000000000e+01,3.700000000000000164e-03
1.134391730000000043e-01,1.200000000000000025e-02,6.055278749869897892e-01,4.000000000000000083e-03,1.365000000000000000e+02,1.850000000000000082e-03
2.935646500000000172e-02,1.600000000000000033e-02,-9.715921906288021992e-01,1.899999999999999996e-03,1.500000000000000000e+01,2.680000000000000090e-03
2.414468499999999906e-02,4.000000000000000083e-02,6.055278749869897892e-01,1.899999999999999996e-03,1.365000000000000000e+02,2.680000000000000090e-03
